selection3_name	selection3_url	selection3_selection4	selection3_selection4_url	selection5	selection5_url
1996 – Wikipedia	https://www.bing.com/ck/a?!&&p=9a20b4d750549928a41e9f65e36b86b5251ab0be8eb40e8152dafd9293c12a04JmltdHM9MTY1NDExNzQzOSZpZ3VpZD1kYTg0YjI1OS1kYzljLTQzNmQtOTIyNS1lY2NjNmRkMjFhNzkmaW5zaWQ9NTEyNQ&ptn=3&fclid=5b021b61-e1ee-11ec-9319-b4fa1dc7d730&u=a1aHR0cHM6Ly9zdi53aWtpcGVkaWEub3JnL3dpa2kvMTk5Ng&ntb=1	1996 var ett skottår som började en måndag i den gregorianska kalendern Händelser Under året. 14 ungdomar dör av ecstasy i Tyskland under årets nio första månader. [1] Januari. 1 januari. Saudiarabiens kung Fahd överlämnar av hälsoskäl de löpande regeringsaffärerna till kronprins ...			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
What Happened in 1996 - On This Day	https://www.bing.com/ck/a?!&&p=af561890f4511bbf94b0aeef6f39e24d1f8d28ba8d5e94adce9ecda5f730adf8JmltdHM9MTY1NDExNzQzOSZpZ3VpZD1kYTg0YjI1OS1kYzljLTQzNmQtOTIyNS1lY2NjNmRkMjFhNzkmaW5zaWQ9NTE0OA&ptn=3&fclid=5b023d02-e1ee-11ec-8ec1-daef3f15df6e&u=a1aHR0cHM6Ly93d3cub250aGlzZGF5LmNvbS9kYXRlLzE5OTY&ntb=1	"Jul 21, 2015 · 1996 in Film & TV. Feb 23 ""Trainspotting"" directed by Danny Boyle based on the book by Irvine Welsh, starring Ewan McGregor, Robert Carlyle and Jonny Lee Miller opens in cinemas in the UK and Ireland; Mar 8 ""Fargo"" directed and written by Joel and Ethan Coen, starring Frances McDormand, William H. Macy and Steve Buscemi released in the US; Jul 21 ""The Daily Show"" …"			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
Year 1996 Calendar – United States - Time and Date	https://www.bing.com/ck/a?!&&p=0eab2b38e85ad43c42497ab18cc28a565c133b55bee55fe4ba78164ce784c3c4JmltdHM9MTY1NDExNzQzOSZpZ3VpZD1kYTg0YjI1OS1kYzljLTQzNmQtOTIyNS1lY2NjNmRkMjFhNzkmaW5zaWQ9NTE2OQ&ptn=3&fclid=5b025083-e1ee-11ec-959e-1c05033cc5ed&u=a1aHR0cHM6Ly93d3cudGltZWFuZGRhdGUuY29tL2NhbGVuZGFyLz95ZWFyPTE5OTYmY291bnRyeT0x&ntb=1	1st Quarter. Full Moon. 3rd Quarter. Disable moonphases. Red –Federal Holidays and Sundays. Gray –Typical Non-working Days. Black–Other Days. Local holidays are not listed. The year 1996 is a leap year, with 366 days in total.			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
1996 – Wikipédia, a enciclopédia livre	https://www.bing.com/ck/a?!&&p=21eb47aaacfc4ec53467b6e4d024de025663b7d1fbb4c32abe1163c1d246a08fJmltdHM9MTY1NDExNzQzOSZpZ3VpZD1kYTg0YjI1OS1kYzljLTQzNmQtOTIyNS1lY2NjNmRkMjFhNzkmaW5zaWQ9NTE5MA&ptn=3&fclid=5b026262-e1ee-11ec-8701-691c148b6aa6&u=a1aHR0cHM6Ly9wdC53aWtpcGVkaWEub3JnL3dpa2kvMTk5Ng&ntb=1	1996. Origem: Wikipédia, a enciclopédia livre. 1996 ( MCMXCVI, na numeração romana) foi um ano bissexto do século XX que começou numa segunda-feira, segundo o calendário gregoriano. As suas letras dominicais foram GF. A terça-feira de Carnaval ocorreu a 20 de fevereiro e o domingo de Páscoa a 7 de abril. Segundo o horóscopo chinês ...			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
Feature Film, Released between 1996-01-01 and 1996-12-31 …	https://www.bing.com/ck/a?!&&p=774a0b6e8967c8f591a98323e858cba87a7f24bb2cbe23e2e8cc7cb1cb45d23cJmltdHM9MTY1NDExNzQzOSZpZ3VpZD1kYTg0YjI1OS1kYzljLTQzNmQtOTIyNS1lY2NjNmRkMjFhNzkmaW5zaWQ9NTIxMQ&ptn=3&fclid=5b02763a-e1ee-11ec-97a7-a066f7036425&u=a1aHR0cHM6Ly93d3cuaW1kYi5jb20vc2VhcmNoL3RpdGxlLz95ZWFyPTE5OTYmdGl0bGVfdHlwZT1mZWF0dXJlJg&ntb=1	Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town. Director: Billy Bob Thornton | Stars: Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter. Votes: 93,193 | Gross: $24.48M.			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
Year 1996 Fun Facts, Trivia, and History - HobbyLark	https://www.bing.com/ck/a?!&&p=91cd97b640b2960ebe31ec032ce551d22302538345d9c80ca6e1a1b880dd6423JmltdHM9MTY1NDExNzQzOSZpZ3VpZD1kYTg0YjI1OS1kYzljLTQzNmQtOTIyNS1lY2NjNmRkMjFhNzkmaW5zaWQ9NTIzNg&ptn=3&fclid=5b02882c-e1ee-11ec-8606-4c6e2d742e3e&u=a1aHR0cHM6Ly9ob2JieWxhcmsuY29tL3BhcnR5LWdhbWVzLzE5OTYtRnVuLUZhY3RzLWFuZC1Db29sLVRyaXZpYQ&ntb=1	Jun 25, 2019 · This article teaches you fun facts, trivia, and history events from the year 1996. Find out about popular TV shows, movies, music, books, foods, sports facts, political and economic news, advances in science and medicine, famous birthdays, and other cool pop culture trends to get the right mix of questions and answers for your 1990s-themed trivia quiz.			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
Best Movies of 1996 - IMDb	https://www.bing.com/ck/a?!&&p=ec526c218a11e1419e6953f194c799307b0c67baf3548937f450762a2d626143JmltdHM9MTY1NDExNzQzOSZpZ3VpZD1kYTg0YjI1OS1kYzljLTQzNmQtOTIyNS1lY2NjNmRkMjFhNzkmaW5zaWQ9NTI1Nw&ptn=3&fclid=5b029a82-e1ee-11ec-9de8-d455f0f7c0f8&u=a1aHR0cHM6Ly93d3cuaW1kYi5jb20vbGlzdC9sczA1OTMxNzQwNy8&ntb=1	Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women. Director: Hugh Wilson | Stars: Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith. Votes: 48,567 | Gross: $105.49M. 27. The Birdcage (1996) R | 117 min | …			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
1996 Calendar	https://www.bing.com/ck/a?!&&p=a2134c443133d88cb30918db093d9455c795f8d12fae92fcf9da96c10c91fd4fJmltdHM9MTY1NDExNzQzOSZpZ3VpZD1kYTg0YjI1OS1kYzljLTQzNmQtOTIyNS1lY2NjNmRkMjFhNzkmaW5zaWQ9NTI4Mw&ptn=3&fclid=5b02ab4e-e1ee-11ec-bbce-9f082cac4d75&u=a1aHR0cHM6Ly93d3cuY2FsZW5kYXItMzY1LmNvbS8xOTk2LWNhbGVuZGFyLmh0bWw&ntb=1	May 28, 2022 · The 1996 calendar is automatically generated and can always be visited online. Also month calendars in 1996 including week numbers can be viewed at any time by clicking on one of the above months. Additionally you can view also leap years, daylight saving, current moon phase in 1996, moon calendar 1996, world clocks and more by selecting an ...			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
Health Insurance Portability and Accountability Act of 1996 …	https://www.bing.com/ck/a?!&&p=7e22511334089c95560fbf4939f60c31f67e625adc357bc4994e3cdaae9c89a4JmltdHM9MTY1NDExNzQzOSZpZ3VpZD1kYTg0YjI1OS1kYzljLTQzNmQtOTIyNS1lY2NjNmRkMjFhNzkmaW5zaWQ9NTMwNw&ptn=3&fclid=5b02bc8e-e1ee-11ec-866e-76de76274d7f&u=a1aHR0cHM6Ly93d3cuY2RjLmdvdi9waGxwL3B1YmxpY2F0aW9ucy90b3BpYy9oaXBhYS5odG1s&ntb=1	HIPAA Security Rule. The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient’s consent or knowledge. The US Department of Health and Human Services (HHS) issued the HIPAA ...			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
1996 New York Yankees Statistics | Baseball-Reference.com	https://www.bing.com/ck/a?!&&p=628461ff94057c27a98c1c808cc740279ff8534dc5be8c1b992272d321c35277JmltdHM9MTY1NDExNzQzOSZpZ3VpZD1kYTg0YjI1OS1kYzljLTQzNmQtOTIyNS1lY2NjNmRkMjFhNzkmaW5zaWQ9NTMzMA&ptn=3&fclid=5b02cc90-e1ee-11ec-b201-54ff5bfe87f7&u=a1aHR0cHM6Ly93d3cuYmFzZWJhbGwtcmVmZXJlbmNlLmNvbS90ZWFtcy9OWVkvMTk5Ni5zaHRtbA&ntb=1	Sep 15, 2011 · Record: 92-70-0, Finished 1st in AL_East (Schedule and Results) Postseason: Won World Series (4-2) over Atlanta Braves Won AL Championship Series (4-1) over Baltimore Orioles Won AL Division Series (3-1) over Texas Rangers Manager: Joe Torre (92-70) General Manager: Bob Watson Farm Director: Mitch Lukevics			https://www.bing.com/search?q=1996&sp=-1&pq=199&sc=6-3&qs=n&sk=&cvid=CADADAD528164F019B13B6D4BEF882C6&first=81&FORM=PORE
